343	157
233	439
225	362
570	190
405	324
575	23
260	271
188	535
288	281
311	160
219	57
516	396
286	35
547	417
455	129
332	28
138	582
462	35
417	41
334	452
495	133
140	21
380	325
582	608
518	83
428	87
535	190
575	320
547	271
563	315
226	132
599	582
207	140
9	144
360	48
335	570
38	48
464	32
455	93
351	165
496	76
260	550
31	32
517	468
397	465
462	406
288	112
548	570
436	390
381	46
426	187
233	11
608	141
299	153
610	283
515	496
250	35
535	209
246	490
547	250
565	40
400	245
8	573
218	62
537	233
133	240
570	310
516	326
382	260
530	139
31	15
307	402
585	312
74	184
535	250
256	208
476	217
394	151
288	31
383	502
610	287
516	321
464	63
57	122
351	455
478	530
103	327
499	455
405	19
329	23
455	485
114	212
611	406
516	35
431	105
130	195
233	151
605	270
335	205
32	370
545	585
571	455
2	255
62	90
381	208
479	571
610	537
81	141
305	120
377	233
302	417
261	132
535	287
400	582
570	241
585	416
597	599
599	183
476	120
431	184
232	235
3	290
335	126
503	346
405	51
605	486
28	487
421	465
447	520
578	214
103	418
31	63
7	435
382	587
518	100
257	282
452	440
516	597
410	60
421	21
570	26
547	213
121	48
363	102
283	244
307	53
605	306
570	250
610	401
405	208
103	391
233	245
426	127
584	498
500	132
499	408
218	90
32	32
479	555
351	375
516	225
416	85
547	537
3	18
477	301
325	26
233	133
610	605
57	170
515	214
579	105
608	13
126	205
283	21
360	391
492	324
381	187
599	172
8	504
317	114
421	277
130	213
356	455
499	555
537	306
257	310
3	470
563	98
405	46
246	102
462	417
252	130
605	465
103	48
578	198
500	501
286	245
608	144
288	63
599	11
580	409
599	225
2	455
334	176
505	13
297	157
568	88
233	305
579	295
35	316
108	236
3	350
508	31
535	226
232	192
578	142
447	234
51	324
383	378
516	147
131	465
299	405
580	50
599	233
383	245
317	475
547	287
455	155
335	233
421	499
134	366
563	238
431	478
103	530
349	410
569	266
455	131
343	191
3	585
608	126
500	562
233	178
188	245
505	535
257	414
578	196
486	455
518	455
0	132
127	23
547	217
397	13
34	48
478	48
570	21
256	46
61	570
535	66
329	102
382	91
516	322
610	230
561	21
579	37
108	227
470	251
277	130
233	35
545	191
500	313
353	128
476	292
469	402
597	11
584	398
535	144
156	465
416	157
547	465
35	120
9	417
329	208
455	168
501	132
547	408
544	417
103	272
114	48
610	486
516	306
307	149
227	164
605	561
3	191
324	329
585	126
597	610
468	406
142	198
547	377
579	595
60	221
181	48
371	290
500	29
545	343
570	359
382	481
599	378
447	511
578	403
118	132
540	283
307	501
335	516
586	79
492	46
518	610
324	23
3	545
33	127
321	364
344	120
547	589
277	233
165	233
599	495
476	596
464	109
454	259
45	22
583	167
262	550
455	224
455	209
168	21
471	291
405	329
516	240
548	455
306	11
311	428
139	48
597	21
257	461
587	225
405	23
138	270
570	408
283	60
455	140
547	71
582	147
332	123
591	550
495	240
547	89
518	133
262	406
144	120
462	174
111	137
140	72
582	195
599	421
444	455
51	102
473	277
294	106
265	52
569	57
599	610
547	21
288	508
11	13
473	547
464	288
311	498
455	306
138	486
37	105
455	190
51	46
462	303
516	400
416	18
597	410
477	30
469	53
277	497
344	21
51	23
355	221
455	184
82	487
455	283
331	427
335	455
518	13
165	417
435	605
105	105
343	18
233	13
133	306
492	256
57	223
331	452
335	547
608	305
306	13
599	242
585	343
580	196
543	48
355	342
3	274
568	407
327	37
288	32
307	500
547	583
57	96
464	370
455	263
599	375
535	21
518	11
277	486
476	86
500	500
51	208
28	284
454	290
516	378
35	21
578	496
455	240
444	231
547	362
265	111
547	570
590	428
585	206
307	145
577	425
353	270
188	210
455	215
435	21
233	226
582	277
138	610
542	483
569	48
455	239
