H,397.0 153.0,5.0,M,676.0 312.0,5.0,11
H,397.0 153.0,5.0,N,260.0 611.0,5.0,12
A,28.0 25.0,5.0,H,397.0 153.0,5.0,0
A,28.0 25.0,5.0,B,1127.0 137.0,5.0,1
A,28.0 25.0,5.0,C,196.0 245.0,5.0,2
A,28.0 25.0,5.0,D,1047.0 202.0,5.0,3
A,28.0 25.0,5.0,E,742.0 367.0,5.0,4
A,28.0 25.0,5.0,F,705.0 534.0,5.0,5
A,28.0 25.0,5.0,G,1179.0 200.0,5.0,6
H,397.0 153.0,5.0,I,278.0 360.0,5.0,7
H,397.0 153.0,5.0,J,860.0 295.0,5.0,8
H,397.0 153.0,5.0,K,1036.0 147.0,5.0,9
H,397.0 153.0,5.0,L,455.0 33.0,5.0,10
Hello,213.0 438.0,5.0,-,-,-,-
